date,portfolio_value,benchmark_value,portfolio_return,benchmark_return
2023-10-03,1061810.397642176,1073253.546160305,0.0015344368596086344,-0.004308696107627519
2023-10-04,1042283.8114994527,1066841.9386364573,-0.01838989916286693,-0.005973991464352402
2023-10-05,1045774.352862115,1072336.8955525884,0.003348935600986369,0.005150675762854107
2023-10-06,1052169.5216571942,1078305.2330383074,0.006115247307009186,0.005565729865746549
2023-10-09,1040145.6041132046,1069740.8300527192,-0.011427737922926728,-0.007942466310264074
2023-10-10,1057873.0759149678,1080072.721234979,0.017043259839450098,0.009658312454756679
2023-10-11,1060507.5685576384,1086693.59695247,0.0024903674199212578,0.006130027716948927
2023-10-12,1062496.614103568,1086214.5168894273,0.001875559972320362,-0.0004408602980511267
2023-10-13,1062514.9048259165,1084210.3384079617,1.721485236338971e-05,-0.001845103752806554
2023-10-16,1066058.5260540987,1083601.9981348678,0.0033351261352543293,-0.000561090640389228
2023-10-17,1070728.5512609298,1087910.3850362704,0.004380646177200687,0.003975986486568273
2023-10-18,1062244.0813954973,1079786.348573277,-0.007924015713824839,-0.007467560356749892
2023-10-19,1062382.2080856927,1077085.7565141984,0.00013003291109314752,-0.0025010429726648464
2023-10-20,1049463.2305110742,1071915.6707249929,-0.012160385853879463,-0.004800068850541295
2023-10-23,1028070.6856856602,1056537.5770829606,-0.020384272839169548,-0.01434636516847565
2023-10-25,1019737.1365134416,1048019.9529587468,-0.008106007970318352,-0.008061827907465902
2023-10-26,1012960.9029571952,1034045.8703836253,-0.0066450787302057,-0.01333379439548854
2023-10-27,1032920.7185265697,1045911.1403804595,0.01970442838524633,0.011474607013741256
2023-10-30,1033221.492170498,1050577.4124557804,0.00029118754085732945,0.004461442177223107
2023-10-31,1032473.4806033112,1048072.2162383515,-0.0007239605184899967,-0.002384589833863693
2023-11-01,1032453.2665632276,1042949.0168481328,-1.957826565357479e-05,-0.004888212196490049
2023-11-02,1049260.8485472284,1052030.998361987,0.016279266605401688,0.008707982238001177
2023-11-03,1056401.671490249,1058354.5325813158,0.006805574565092787,0.0060107869722227925
2023-11-06,1067521.280310168,1068100.0211634021,0.010525928839389964,0.009208151221611116
2023-11-07,1072021.2636235184,1069074.6345441781,0.0042153570110030625,0.0009124738895842643
2023-11-08,1078198.4482972478,1072009.2284477418,0.0057621848402986675,0.0027449850634748696
2023-11-09,1075899.2135636962,1068909.4567716005,-0.00213247824385443,-0.002891553163800409
2023-11-10,1080338.4729121206,1070616.2937549038,0.0041260921956809415,0.0015968022104120294
2023-11-13,1089528.257820974,1072317.5387823645,0.008506394189667033,0.0015890333795443023
2023-11-15,1101638.567706185,1084579.2999559527,0.011115186594087056,0.011434822923358734
2023-11-16,1109802.5392831464,1089394.1890115486,0.007410753232759859,0.004439407110011784
2023-11-17,1107975.8877930362,1088711.4327107049,-0.001645924770806606,-0.0006267302577254164
2023-11-20,1108816.0551403412,1086357.649451472,0.000758290281008378,-0.002161990026477656
2023-11-21,1106767.8403277027,1090525.6997687512,-0.0018472088342725845,0.0038367201808571227
2023-11-22,1108460.7783425967,1091213.9404878248,0.0015296234252639707,0.0006311091239936673
2023-11-23,1109681.1060265084,1091241.470116588,0.0011009209416830146,2.522844305929972e-05
2023-11-24,1118073.0865197105,1090839.4945216037,0.007562515435854955,-0.0003683653948208798
2023-11-28,1127799.9128292394,1097793.5217621715,0.008699633706241938,0.006374931670050765
2023-11-29,1140512.0284840215,1108684.1783782295,0.01127160545959982,0.009920496341221163
2023-11-30,1152865.678414934,1112252.0612809537,0.010831670006438365,0.003218123765365899
2023-12-01,1164701.0961129502,1119874.972470371,0.010266085563661376,0.006853582434037664
2023-12-04,1186292.690956512,1142917.2717449656,0.0185383141783082,0.020575778404766654
2023-12-05,1188131.8465061616,1153450.1507247174,0.0015503387685602554,0.009215784239283265
2023-12-06,1193928.4099654406,1160327.0734972265,0.0048787207213782935,0.00596204592646532
2023-12-07,1197875.7327750265,1160448.1608487384,0.003306163733636236,0.00010435622358362373
2023-12-08,1201217.3609016938,1162146.7174358903,0.0027896283689845536,0.0014637074230956504
2023-12-11,1211614.2238222908,1165147.4469710526,0.008655271942450637,0.0025820574030299692
2023-12-12,1204770.0176959168,1159451.6097950418,-0.005648832765252965,-0.004888511913936466
2023-12-13,1215652.9154596124,1161728.2885862158,0.009033174468027205,0.001963582414255649
2023-12-14,1234805.0772256556,1176302.5385758923,0.015754629896809202,0.01254531729395425
2023-12-15,1251734.5620493074,1189032.1959008384,0.013710248796262592,0.010821754529542593
2023-12-18,1258357.4339395855,1188467.8385111978,0.0052909555197031555,-0.00047463591952023876
2023-12-19,1259773.3254433232,1190543.5295048796,0.0011251902405067238,0.0017465268528276123
2023-12-20,1220372.8390200397,1170964.4790361878,-0.03127585385999365,-0.016445472159119068
2023-12-21,1233746.6100396574,1178386.5099657255,0.010958758333524443,0.006338391183007275
2023-12-22,1250294.8593461332,1184261.2897286955,0.0134130048843204,0.004985443836369896
2023-12-26,1261158.1931785305,1190218.7659155666,0.008688617529851062,0.005030542025261875
2023-12-27,1264490.1870861812,1201142.4365786177,0.002642011070199679,0.009177867948207075
2023-12-28,1288272.1055409994,1207545.8712439262,0.01880751523237989,0.005331120165521952
2023-12-29,1288920.7968642619,1206832.8968740108,0.0005035359536795792,-0.000590432535023222
2024-01-01,1294049.6736818478,1206832.8968740108,0.003979202469277965,0.0
2024-01-02,1295849.6824421978,1203884.430618453,0.001390988921799785,-0.0024431437551917234
2024-01-03,1300889.7822777512,1198717.1408071686,0.003889417039524723,-0.004292180943506363
2024-01-04,1313123.4624813104,1207691.7997838925,0.009404086626108255,0.007486886331399933
2024-01-05,1316208.373255355,1209905.1389213891,0.002349292250262147,0.0018327019674164724
2024-01-08,1312352.273398883,1198681.3307822545,-0.002929703179850529,-0.009276601758333336
2024-01-09,1315061.3488871374,1201125.9833239275,0.002064289858117352,0.0020394515864177176
2024-01-10,1311690.9005262703,1205015.9413756556,-0.0025629590313176465,0.0032385928751315074
2024-01-11,1316069.5775750503,1208118.509029718,0.003338192745732327,0.0025747108793603424
2024-01-12,1323457.3998624282,1220071.8523310714,0.005613549931752448,0.009894181085722709
2024-01-15,1338155.7241048387,1229954.9890569726,0.01110600480524604,0.008100454663402257
2024-01-16,1341125.2498867773,1226422.916179163,0.0022191182449449176,-0.0028717090537742074
2024-01-17,1336745.4332305763,1202491.3883880025,-0.003265777492870714,-0.01951327513164658
2024-01-18,1335892.2436518623,1196443.1504563035,-0.0006382588318646354,-0.005029755713932382
2024-01-19,1357179.4177504936,1206678.6879378932,0.015934798783201032,0.008554971857781979
2024-01-23,1320517.0541757317,1184148.482773335,-0.027013645429083577,-0.018671254733984233
2024-01-24,1348519.5611202088,1197318.614158488,0.021205713970847695,0.011122026989645706
2024-01-25,1356033.116032878,1192941.4031851778,0.005571706283910016,-0.003655844753058246
2024-01-29,1388112.7883129169,1213594.1091756253,0.02365699768003382,0.01731242283594514
2024-01-30,1372998.490703129,1202835.5087475395,-0.010888378622429862,-0.008865073047688021
2024-01-31,1377011.846928882,1214142.0133105756,0.0029230594592262182,0.009399875943809644
2024-02-01,1371612.2339572036,1213483.9906605734,-0.003921253824882509,-0.0005419651431121109
2024-02-02,1402054.2383358504,1222260.4578177263,0.022194322582570924,0.007232454012331413
2024-02-05,1413461.9072990615,1217547.4068810309,0.008136396332820484,-0.0038560119543671334
2024-02-06,1433539.8615606183,1227782.9443626204,0.014204807471552616,0.00840668496663266
2024-02-07,1446041.9257941237,1231328.6745171992,0.008721113774886602,0.0028879128602161686
2024-02-08,1457986.4260020815,1222466.9300334486,0.008260134090785964,-0.007196896058012436
2024-02-09,1439867.1301525987,1224933.6277856545,-0.012427616283895992,0.0020178032563533677
2024-02-12,1417331.9251597868,1213621.638804388,-0.015650892030866448,-0.00923477707254683
2024-02-13,1432183.3066946364,1221302.405229253,0.010478407542520607,0.006328798184936701
2024-02-14,1456380.0573472697,1228559.2583862133,0.016895009556058493,0.0059418970485021205
2024-02-15,1480655.4980098782,1233632.9904747484,0.016668341852212,0.004129822842407815
2024-02-16,1488251.1325635458,1241085.2394733583,0.0051299134497369,0.006040896325042233
2024-02-19,1487969.756721546,1241085.2394733583,-0.0001890647591950012,0.0
2024-02-20,1486869.3428915294,1249055.067000234,-0.0007395404543981687,0.006421660070872859
2024-02-21,1459200.800121775,1241454.0934837367,-0.018608590527495306,-0.00608537903356976
2024-02-22,1475400.9621548792,1251243.672486889,0.011102078639041668,0.00788557470996043
2024-02-23,1480907.6080936182,1251733.7213863921,0.0037323046954613748,0.0003916494526834402
2024-02-26,1479795.7893192805,1248069.4847829975,-0.0007507684937677617,-0.0029273291442017957
2024-02-27,1480709.00523951,1251073.0102960812,0.0006171229346783047,0.002406537095653638
2024-02-28,1460036.8542729071,1236501.556284326,-0.013960981457838195,-0.0116471651868717
2024-02-29,1464582.50322345,1240281.3958210023,0.003113379595343524,0.003056882150666018
2024-03-01,1486849.3654819517,1258767.5415353274,0.01520355610523394,0.014904799649992473
2024-03-04,1517822.913885909,1263323.6950955966,0.020831665347563533,0.003619535307298971
2024-03-05,1519787.2840644782,1260892.8073683053,0.0012942024794844187,-0.0019242002162457306
2024-03-06,1512644.7679197553,1265721.4612382827,-0.004699681474910844,0.0038295514430410904
2024-03-07,1525405.199973235,1268347.852344836,0.0084358418606294,0.0020750150700485914
2024-03-11,1516020.6783669246,1260606.434706603,-0.006152150003471135,-0.00610354456304818
2024-03-12,1495096.5365822506,1257603.0167311318,-0.01380201608279763,-0.0023825183600384436
2024-03-13,1431154.279788233,1233272.3093229088,-0.04276797867526849,-0.01934689014301627
2024-03-14,1465395.6372848037,1245644.0814739363,0.023925692694457323,0.010031662964864463
2024-03-15,1445225.9551823619,1238541.4372530936,-0.013763983998078322,-0.005701985283338984
2024-03-18,1449139.4188347175,1241099.0042877397,0.002707855915763613,0.002064983017700639
2024-03-19,1422324.0359635304,1226425.7121570841,-0.018504349907719653,-0.01182282161210546
2024-03-20,1429583.3513497708,1228248.1520736692,0.00510384075828596,0.001485976605447803
2024-03-21,1466417.9939223514,1240975.1209583064,0.025765998560211445,0.010361887264515701
2024-03-22,1472425.0568092037,1246200.266005038,0.004096419241818472,0.00421051555223495
2024-03-26,1485304.3038156305,1244413.5285757547,0.00874696267009778,-0.001433748232947396
2024-03-27,1484223.5907597595,1249762.5569519196,-0.0007276038001738927,0.004298433160146331
2024-03-28,1502556.6841673707,1261996.6809591323,0.012351975485193956,0.009789158699914147
2024-04-01,1517581.1863713542,1272262.544047406,0.009999291449233505,0.00813461972060936
2024-04-02,1529742.693968087,1273991.426241242,0.008013744309661508,0.0013589036334717974
2024-04-03,1532679.1806844235,1273883.996166499,0.0019195951893840046,-8.432558691540137e-05
2024-04-04,1526983.8722626702,1277705.13014632,-0.003715916868662683,0.0029995933627551263
2024-04-05,1526279.1235389875,1279607.470508885,-0.0004615299064281153,0.0014888727592001771
2024-04-08,1530787.230710313,1287302.0017481314,0.002953658411360971,0.006013196559556011
2024-04-09,1522967.2193275832,1285573.1195542952,-0.005108490080036221,-0.0013430276590018497
2024-04-10,1538618.2479626306,1292499.5096284878,0.01027666809661043,0.005387783836514837
2024-04-12,1526365.1160440722,1280397.5493468596,-0.007963724552716989,-0.009363222338944488
2024-04-15,1513426.32259817,1264551.4520158572,-0.0084768665831646,-0.012375919759519682
2024-04-16,1515901.9974002182,1259221.780409916,0.0016358079445837337,-0.004214673588366025
2024-04-18,1506477.2554837952,1252058.4849757052,-0.006217250147164122,-0.005688668625060678
2024-04-19,1501759.791422363,1258643.6582058943,-0.0031314538897019295,0.005259477340083585
2024-04-22,1521339.7291402775,1270707.120022299,0.013037995709932915,0.009584493385205173
2024-04-23,1521716.867255254,1272749.796968988,0.000247898682820491,0.0016075120021781242
2024-04-24,1532065.0958329951,1275601.909523875,0.006800363983877178,0.0022409059201418113
2024-04-25,1549341.0722604848,1284521.509243073,0.011276267878223889,0.006992463442240471
2024-04-26,1559197.172485754,1279142.155260224,0.006361478696804257,-0.004187827096814423
2024-04-29,1562456.9060984831,1290798.2646010267,0.0020906487455543132,0.00911244250130383
2024-04-30,1563316.8409790585,1290396.2890060428,0.0005503735029228629,-0.0003114162809230159
2024-05-02,1583390.183673827,1296166.5422098031,0.012840226733690896,0.00447169079214027
2024-05-03,1582369.5565102955,1287436.853914025,-0.0006445834855205446,-0.0067350051181657156
2024-05-06,1568372.1167615175,1282756.8170243225,-0.008845872755317341,-0.0036351583966812706
2024-05-07,1538559.157583884,1272075.3210642955,-0.019008855652951406,-0.008326984365442991
2024-05-08,1557233.1375348426,1275502.7598452836,0.012137316825882705,0.002694367797435593
2024-05-09,1529700.5323259048,1254811.4478520008,-0.017680464501624304,-0.01622208327937491
2024-05-10,1546407.2515219,1261358.0150793542,0.01092156199396288,0.005217172060838271
2024-05-13,1554626.218836873,1263959.5649974535,0.005314878927840105,0.002062499216715752
2024-05-14,1576128.2485821238,1272870.8843204998,0.013830996470224122,0.0070503199388853854
2024-05-15,1587736.0860928916,1273732.5832083027,0.007364779814847067,0.0006769727380973034
2024-05-16,1612569.367382328,1285278.5740340543,0.01564068582112177,0.00906468985559683
2024-05-17,1619201.827517467,1290825.7942297899,0.004112976637963506,0.004315967221273143
2024-05-21,1656017.347704654,1297741.215467522,0.02273683216108524,0.005357362138752597
2024-05-22,1661781.3740169916,1301265.0079491804,0.0034806557554043493,0.0027153275550311218
2024-05-23,1673790.9312896896,1320450.3632190395,0.007226917728454074,0.01474361882680264
2024-05-24,1675356.5358262986,1320326.4798896061,0.0009353644516418846,-9.381899758154066e-05
2024-05-27,1665999.5502498024,1319211.5299247066,-0.005585071222992677,-0.0008444502037047164
2024-05-28,1650094.879998934,1314479.2297553993,-0.009546623376028962,-0.0035872186241256987
2024-05-29,1649054.3607215695,1304227.131481507,-0.000630581483511472,-0.0077993611780384775
2024-05-30,1637729.259546185,1292037.0978953599,-0.006867633623932834,-0.009346557276645684
2024-05-31,1650704.9939345282,1294886.4144723257,0.007923003336912204,0.002205290066057186
2024-06-03,1723834.0161442969,1340373.5340472683,0.04430169077968471,0.03512826999075358
2024-06-04,1568372.2339022474,1252025.470928712,-0.09018373044393868,-0.06591301668855598
2024-06-05,1628828.5962124919,1296686.8091783782,0.038547202636853406,0.035671269703912545
2024-06-06,1659576.1410820081,1310792.947941472,0.018877090530589502,0.010878601265352561
2024-06-07,1691640.4218226837,1336070.7391017082,0.01932076507183944,0.01928435089609959
2024-06-10,1703702.810323857,1336351.519807568,0.0071305865865847196,0.00021015407166879996
2024-06-11,1709350.6142642014,1336346.0353893377,0.003315017094601691,-4.10402364126039e-06
2024-06-12,1723445.4909572923,1340626.8926619776,0.008245749336310393,0.003203404776362939
2024-06-13,1741109.441866042,1346171.316879792,0.01024920776516014,0.0041356952095785715
2024-06-14,1751113.376806492,1352896.8266941046,0.005745724363959592,0.00499602816519773
2024-06-18,1761922.466528281,1359057.9791187767,0.00617269553471278,0.004554044553217951
2024-06-19,1733066.0303050978,1354452.2507192115,-0.016377812742261244,-0.003388912371900088
2024-06-20,1726788.944697816,1357202.417617586,-0.0036219540961037744,0.0020304642684259022
2024-06-21,1717773.386538928,1352007.5981775385,-0.005220995991763067,-0.003827593712341315
2024-06-24,1730153.2045796893,1355646.9935924788,0.007206898265960993,0.0026918453859623437
2024-06-25,1721947.6541057748,1363146.1289900756,-0.004742672759958211,0.0055317759217861084
2024-06-26,1718180.90144346,1369166.8372930116,-0.002187495452218524,0.004416773942935048
2024-06-27,1721392.349600772,1377943.3044501645,0.001869097808393727,0.006410078682963727
2024-06-28,1734358.605523525,1376880.6177648695,0.007532423346577666,-0.0007712121985448128
